No;Stream;W(m);H(m);U(m∕s);U*(m∕s);Kx(m2∕s);sigma
1;Copper_Creek_VA_(below_gauge);15.9;0.49;0.21;0.079;19.52;0
2;Copper_Creek_VA_(below_gauge);18.3;0.84;0.52;0.1;21.4;0
3;Copper_Creek_VA_(below_gauge);16.2;0.49;0.25;0.079;9.5;0
4;Clinch_River_TN_(below_gauge);46.9;0.86;0.28;0.067;13.93;0
5;Clinch_River_TN_(below_gauge);59.4;2.13;0.86;0.104;53.88;0
6;Clinch_River_TN_(below_gauge);53.3;2.09;0.79;0.107;46.45;0
7;Copper_Creek_VA_(above_gauge);18.6;0.39;0.14;0.116;9.85;0
8;Power_River_TN;33.8;0.85;0.16;0.055;9.5;0
9;Clinch_River_VA;36;0.58;0.3;0.049;8.08;0
10;Green_and_Duwamish;21.77;1.58;0.31;0.058395;6.5;0
11;Green_and_Duwamish;29.61;1.08;0.36;0.048279;0.5;1.41
12;Bayou_Anacoco;19.8;0.41;0.29;0.044;13.94;1.3
13;Nooksack_River;86;2.94;1.2;0.514;153.29;0
14;Antietam_Creek;15.8;0.39;0.32;0.06;9.29;0
15;Antietam_Creek;19.8;0.52;0.43;0.069;16.26;0
16;Antietam_Creek;24.4;0.71;0.52;0.081;25.55;0
17;Monocacy_River;35.1;0.32;0.21;0.04;4.65;0
18;Monocacy_River;36.6;0.45;0.32;0.05;13.94;0
19;Monocacy_River;47.5;0.87;0.44;0.07;37.16;0
20;Missouri_River;182.9;2.23;0.93;0.065;464.52;1.35
21;Missouri_River;201.2;3.56;1.27;0.082;836.13;1.35
22;Missouri_River;196.6;3.11;1.53;0.077;891.87;1.35
23;Wind_Bighom_Rivers;67.1;0.98;0.88;0.11;41.81;0
24;Elkhom_River;32.6;0.3;0.43;0.046;9.29;0
25;Elkhom_River;50.9;0.42;0.46;0.046;20.9;0
26;John_day_River;25;0.56;1.01;0.137;13.94;1.08
27;Comite_River;12.5;0.26;0.31;0.043;6.97;1.31
28;Comite_River;15.8;0.41;0.37;0.055;13.94;1.31
29;Amite_River;36.6;0.81;0.29;0.068;23.23;0
30;Amite_River;42.4;0.8;0.42;0.068;30.19;0
31;Sabine_River;103.6;2.04;0.56;0.054;315.87;0
32;Sabine_River;127.4;4.75;0.64;0.081;668.9;0
33;Muddy_Creek;13.4;0.81;0.37;0.077;13.94;0
34;Muddy_Creek;19.5;1.2;0.45;0.093;32.52;0
35;Sabine_River_Texas;35.1;0.98;0.21;0.041;39.48;0
36;White_River;67.1;0.55;0.35;0.044;30.19;0
37;Chattahoochee_River;65.5;1.13;0.39;0.075;32.52;0
38;Susquehanna_River;202.7;1.35;0.39;0.065;92.9;1.13
39;Antietam_Creek;10.97;0.52;0.21;0.074909;17.5;0
40;Antietam_Creek;23.47;0.7;0.52;0.101491;101.5;0
41;Antietam_Creek;24.99;0.45;0.41;0.081374;25.9;0
42;Antietam_Creek;12.8;0.3;0.42;0.057;17.5;1.4
43;Antietam_Creek;24.08;0.98;0.59;0.098;101.5;2.25
44;Antietam_Creek;11.89;0.66;0.43;0.085;20.9;2.25
45;Antietam_Creek;21.03;0.48;0.52;0.069;25.9;1.26
46;Monocacy_River;48.7;0.55;0.26;0.05;37.8;1.28
47;Monocacy_River;92.96;0.71;0.16;0.05;41.4;1.28
48;Monocacy_River;51.21;0.65;0.62;0.04;29.6;1.28
49;Monocacy_River;97.54;1.15;0.32;0.058;119.8;1.61
50;Monocacy_River;49.99;0.95;0.32;0.074778;29.6;0
51;Monocacy_River;33.53;0.58;0.16;0.041315;66.5;0
52;Monocacy_River;40.54;0.41;0.23;0.04;66.5;1.61
53;Conococheague_Creek;42.21;0.69;0.23;0.064;40.8;2.25
54;Conococheague_Creek;49.68;0.41;0.15;0.081;29.3;2.25
55;Conococheague_Creek;42.98;1.13;0.63;0.081;53.3;1.31
56;Conococheague_Creek;43.28;0.69;0.22;0.063729;40.8;0
57;Conococheague_Creek;63.7;0.46;0.1;0.056203;29.3;0
58;Conococheague_Creek;59.44;0.76;0.68;0.072242;53.3;0
59;Chattahoochee_River;75.6;1.95;0.74;0.138;88.9;1.27
60;Chattahoochee_River;91.9;2.44;0.52;0.094;166.9;1.57
61;Chattahoochee_River;99.97;2.5;0.3;0.105054;166.9;0
62;Salt_Creek;32;0.5;0.24;0.038;52.2;1.38
63;Difficult_Run;14.5;0.31;0.25;0.062;1.9;1.09
64;Difficult_Run;11.58;0.4;0.22;0.087475;1.9;0
65;Bear_Creek;13.7;0.85;1.29;0.553;2.9;1.08
66;Little_Pincy_Creek;15.9;0.2;0.39;0.053;7.1;1.13
67;Bayou_Anacoco;17.5;0.45;0.32;0.024;5.8;1.41
68;Bayou_Anacoco;25.9;0.94;0.34;0.067;27.6;1.41
69;Bayou_Anacoco;36.6;0.91;0.4;0.067;40.2;1.41
70;Comite_River;15.7;0.2;0.36;0.04;69;1.31
71;Comite_River;6.1;0.49;0.25;0.057591;69;0
72;Bayou_Bartholomew;33.4;1.4;0.2;0.03;54.7;2.46
73;Bayou_Bartholomew;37.49;2.07;0.1;0.040306;54.7;0
74;Amite_River;21.3;0.5;0.54;0.027;501.4;0
75;Amite_River;46.02;0.53;0.41;0.042659;501.4;0
76;Tickfau_River;14.9;0.59;0.27;0.08;10.3;1.75
77;Tickfau_River;41.45;1.04;0.07;0.090343;10.3;0
78;Tangipahoa_River;31.4;0.81;0.48;0.072;45.1;1.46
79;Tangipahoa_River;29.9;0.4;0.34;0.02;44;1.46
80;Tangipahoa_River;42.98;1.28;0.26;0.068162;45.1;0
81;Tangipahoa_River;31.7;0.76;0.36;0.053227;44;0
82;Red_River;253.6;0.81;0.48;0.072;45.1;1.2
83;Red_River;161.5;0.4;0.34;0.02;44;1.44
84;Red_River;152.4;1.62;0.61;0.032;143.8;1.44
85;Red_River;155.1;3.96;0.29;0.06;130.5;1.24
86;Red_River;248.11;4.82;0.31;0.065235;143.8;0
87;Sabine_River_LA;116.4;3.66;0.45;0.057;227.6;1.17
88;Sabine_River_LA;160.3;1.74;0.47;0.036;177.7;1.17
89;Sabine_River_TX;14.2;1.65;0.58;0.054;131.3;2.53
90;Sabine_River_TX;12.2;2.32;1.06;0.054;308.9;2.05
91;Sabine_River_TX;21.3;0.5;0.13;0.037;12.8;1.47
92;Sabine_River_TX;21.64;0.61;0.08;0.04237;12.8;0
93;Sabine_River_TX;17.37;1.23;0.04;0.050338;14.7;0
94;Sabine_River_TX;31.39;1.43;0.13;0.041029;24.2;0
95;Wind/Bighom_Rivers;44.2;1.4;0.99;0.14;184.6;1.56
96;Wind/Bighom_Rivers;85.3;2.4;1.73;0.15;464.6;1.56
97;Copper_Creek;16.7;0.5;0.2;0.08;16.8;2.54
98;Clinch_River;48.5;1.2;0.21;0.07;14.8;1.25
99;Copper_Creek;18.3;0.4;0.15;0.12;20.7;2.54
100;Powell_River;36.8;0.9;0.13;0.05;15.5;0
101;Clinch_River;28.7;0.6;0.35;0.07;10.7;2.2
102;Copper_Creek;19.6;0.8;0.49;0.1;20.8;1.14
103;Clinch_River;57.9;2.5;0.75;0.1;40.5;0
104;Conchelaa_Canal;24.7;1.6;0.66;0.04;5.9;1.14
105;Clinch_River;33.53;0.78;0.19;0.049483;10.7;0
106;Clinch_River;55.78;2.26;0.69;0.098768;36.93;0
107;Clinch_River;53.2;2.4;0.66;0.11;36.9;0
108;Coachell_Canal_CA;23.77;1.6;0.67;0.04;5.96;1.14
109;Coachell_Canal_CA;24.99;1.54;0.66;0.037;5.92;0
110;Copper_Creek;16.8;0.5;0.24;0.08;24.6;0
111;Missouri_River;180.6;3.3;1.62;0.08;1486.5;0
112;Bayou_Anacoco;25.9;0.9;0.34;0.07;32.5;0
113;Bayou_Anacoco;36.6;0.9;0.4;0.07;39.5;0
114;Nooksack_River;64;0.8;0.67;0.27;34.8;1.3
115;Wind/Bighom_Rivers;59.4;1.1;0.88;0.12;41.8;1.18
116;Wind/Bighom_Rivers;68.6;2.2;1.55;0.17;162.6;1.18
117;John_Day_River;34.1;2.5;0.82;0.18;65;1.89
118;Yadkin_River;70.1;2.4;0.43;0.1;111.5;2.17
119;Yadkin_River;71.6;3.8;0.76;0.13;260.1;2.17
120;Colorado_River;106.1;6.1;0.79;0.088201;181;0
121;Colorado_River;71.6;8.2;1.2;0.336784;243;0
122;Albert;100;4.4;0.029;0.0016;0.2;0
123;Dessel-Herentals;35;2.5;0.037;0.0022;0.2;0
124;Yuma_Mesa;7.6;3.45;0.68;0.047;0.5;0
125;Bocholt-Dessel;35;2.5;0.107;0.0063;1.4;0
126;Villemsvaart;34;2.5;0.13;0.0079;1.7;0
127;Chicago_Ship_Canal;49;8.07;0.27;0.019;3;0
128;Irrigation;1.4;0.19;0.38;0.11;9.6;0
129;Irrigation;1.5;0.14;0.33;0.1;1.9;0
130;Puneha;5;0.28;0.26;0.21;7.2;0
131;Kapuni;9;0.3;0.37;0.15;8.4;0
132;Kapuni;10;0.35;0.53;0.17;12.4;0
133;Manganui;20;0.4;0.19;0.18;6.5;0
134;Waiongana;13;0.6;0.48;0.24;6.8;0
135;Stony;10;0.63;0.55;0.3;13.5;0
136;Waiotapu;11.4;0.75;0.41;0.061;8;0
137;Manawatu;59;0.72;0.37;0.07;32;0
138;Manawatu;63;1;0.32;0.094;22;0
139;Manawatu;60;0.95;0.46;0.092;47;0
140;Tarawera;25;1.21;0.73;0.084;27;0
141;Tarawera;20;1.92;0.62;0.123;11.5;0
142;Tarawera;25;1.38;0.77;0.091;20.5;0
143;Tarawera;25;1.4;0.78;0.091;15.5;0
144;Tarawera;25;1.57;0.83;0.096;18;0
145;Tarawera;85;2.6;0.69;0.06;52;0
146;Waikato;120;2;0.64;0.05;67;0
147;Miljacka;11;0.29;0.35;0.058;2.7;0
148;Upper_Tame;9.9;0.83;0.46;0.09;5.5;0
149;Upper_Tame;9.9;0.92;0.52;0.1;5.1;0
