Number;River_reach;B/H;U/U*;M*;Measured;Deng;Fischer;3UB;I_ratio;sigma
1;Antietam_Creek_Md.;42.7;7.36;0.517;17.50;16.8;18.6;16.1;14.9;1.40
2;Antietam_Creek_Md.;24.6;6.02;0.287;101.50;85.0;23.1;42.6;27.6;2.25
3;Antietam_Creek_Md.;18.0;5.06;0.223;20.90;23.8;5.1;15.3;24.2;2.25
4;Antietam_Creek_Md.;43.8;8.98;0.615;25.90;30.7;56.4;39.1;10.7;1.26
5;Monocacy_River_Md.;88.5;5.00;0.836;37.80;31.0;61.7;38.0;17.3;1.28
6;Monocacy_River_Md.;130.9;3.48;0.970;41.40;35.4;74.5;44.6;21.7;1.28
7;Monocacy_River_Md.;78.8;14.09;1.803;29.60;87.5;387.7;95.2;16.0;1.28
8;Monocacy_River_Md.;84.8;5.51;0.864;119.80;132.3;160.7;93.6;28.8;1.61
9;Monocacy_River_Md.;98.9;5.75;1.070;66.50;39.9;58.3;28.0;31.2;1.61
11;Conococheague_Creek_Md.;121.2;1.85;0.540;29.30;39.3;18.4;22.4;52.9;2.25
12;Conococheague_Creek_Md.;38.0;7.78;0.480;53.30;67.5;88.1;81.2;11.2;1.31
10;Conococheague_Creek_Md.;61.2;3.59;0.443;40.80;59.4;23.5;29.1;40.4;2.25
13;Chattahoochee_River_Ga.;38.8;5.36;0.382;88.90;109.7;127.9;167.8;10.1;1.27
14;Chattahoochee_River_Ga.;37.7;5.53;0.380;166.90;163.8;109.5;143.4;17.3;1.57
15;Salt_Creek_Neb.;64.0;6.31;0.703;52.20;24.7;34.1;23.0;18.6;1.38
16;Difficult_Run_Va.;46.7;4.03;0.376;1.90;2.1;7.5;10.9;3.5;1.09
17;Bear_Creek_Colo.;16.1;2.33;0.176;2.90;3.0;7.3;53.1;1.6;1.08
18;Little_Piney_Creek_Mo.;72.0;7.35;0.910;7.10;7.5;36.0;18.5;7.2;1.13
19;Bayou_Anacoco_La.;39.0;13.33;0.738;5.80;20.1;32.0;16.8;14.2;1.41
20;Comite_River_La.;68.3;9.23;1.036;69.00;16.5;39.2;16.9;16.4;1.31
21;Bayou_Bartholomew_La.;23.8;6.45;0.291;54.70;54.2;11.3;20.0;36.1;2.46
22;Amite_River_La.;41.0;20.00;1.102;501.40;257.6;104.0;34.6;85.4;2.93
23;Tickfaw_River_La.;25.3;3.38;0.228;10.30;10.3;3.8;12.1;16.4;1.75
24;Tangipahoa_River_La.;38.8;6.67;0.440;45.10;60.6;42.8;45.2;19.1;1.46
25;Tangipahoa_River_La.;74.7;17.00;2.002;44.00;41.8;141.8;30.5;22.8;1.46
26;Red_River_La.;156.5;19.06;5.929;143.80;206.8;5077.5;464.1;17.9;1.20
27;Red_River_La.;40.8;4.83;0.374;130.50;133.9;101.6;140.5;15.4;1.44
28;Red_River_La.;41.6;7.89;0.530;227.60;230.7;248.0;205.7;15.5;1.44
29;Red_River_La.;89.2;13.05;1.967;177.70;172.6;933.6;218.7;15.0;1.24
30;Sabine_River_La.;70.6;10.74;1.230;131.30;129.0;563.0;202.6;10.7;1.19
31;Sabine_River_La.;69.1;19.63;2.072;308.90;307.1;2535.7;509.8;9.4;1.17
32;Sabine_River_Tex.;28.3;3.51;0.246;12.80;12.7;2.0;5.5;42.4;2.53
33;Sabine_River_Tex.;23.9;7.67;0.319;14.70;14.7;5.6;8.4;21.5;2.05
34;Sabine_River_Tex.;22.9;10.28;0.366;24.20;24.0;19.9;23.0;11.2;1.47
35;Mississippi_River_La.;35.7;13.65;0.683;237.20;181.9;2134.2;1194.8;14.1;1.44
36;Mississippi_River_Mo.;108.0;15.22;2.910;457.70;382.5;10123;1680.2;24.4;1.38
37;Mississippi_River_Mo.;60.4;15.56;1.414;374.10;583.9;8389.7;2434.3;18.0;1.38
38;Wind/Bighorn_River_Wyo.;32.3;6.97;0.384;184.60;151.6;108.3;131.3;15.5;1.56
39;Wind/Bighorn_River_Wyo.;35.8;11.37;0.596;464.60;609.1;666.1;445.5;16.3;1.56
40;Copper_Creek_Va.;34.0;2.50;0.237;16.84;20.5;3.1;10.0;45.8;2.54
41;Clinch_River_Va.;41.8;3.04;0.294;14.76;15.4;14.2;30.5;10.0;1.25
42;Copper_Creek_Va.;48.1;1.29;0.222;20.71;13.2;1.9;8.2;51.8;2.54
43;Powell_River_Tenn.;42.3;2.41;0.265;15.50;20.9;5.4;14.3;32.7;2.20
44;Clinch_River_Va.;47.0;5.07;0.437;10.70;11.1;26.3;30.1;6.1;1.14
45;Copper_River_Va.;23.3;4.85;0.252;20.82;13.3;12.0;28.8;7.2;1.26
46;Clinch_River_Va.;23.6;7.21;0.306;40.49;41.3;81.4;130.3;4.0;1.14
47;Clinch_River_Va.;22.1;6.17;0.270;36.93;29.8;52.7;105.4;3.9;1.14
48;Copper_Creek_Va.;35.7;3.00;0.263;24.62;28.1;4.7;12.1;46.6;2.54
49;Missouri_River_Iowa;62.2;22.09;2.021;1486.4;1355.4;4852.0;962.9;20.1;1.44
50;Bayou_Anacoco_La.;27.6;5.07;0.285;32.52;19.8;13.6;26.4;11.4;1.41
51;Bayou_Anacoco_La.;40.2;5.97;0.422;39.48;42.7;38.6;43.9;14.5;1.41
52;Nooksack_River_Wash.;84.2;2.50;0.467;34.84;93.8;99.3;128.7;17.8;1.30
53;Wind/Bighorn_River_Wyo.;54.0;7.39;0.662;41.81;88.4;229.9;156.9;8.8;1.18
54;Wind/Bighorn_River_Wyo.;31.8;9.22;0.455;162.58;161.8;342.5;318.9;6.1;1.18
55;John_Day_River_Ore.;43.1;7.21;0.514;13.94;14.9;86.3;75.7;2.8;1.08
56;John_Day_River_Ore.;13.8;4.56;0.194;65.03;60.2;19.4;84.0;12.8;1.89
57;Yadkin_River_N.C.;29.8;4.26;0.276;111.48;147.8;42.1;90.4;27.1;2.17
58;Yadkin_River_N.C.;18.7;5.94;0.241;260.13;257.2;66.3;163.3;22.1;2.17
59;Coachella_Canal_Calif.;15.6;16.10;0.348;5.92;5.8;45.1;48.9;1;1.00
60;Nooksack_Wash.;29.4;2.26;0.213;153.0;118.0;75.4;309.6;9.3;1.30
61;Susquehanna_Pa.;150.4;6.00;1.867;92.9;97.5;785.7;237.5;11.5;1.13
62;Bayou_Anacoco_La.;47.6;6.44;0.523;13.9;18.5;19.6;17.4;16.4;1.41
63;Missouri_River_Iowa;78.5;13.48;1.724;465.0;541.0;1897.5;488.6;19.4;1.35
64;Missouri_River_Iowa;56.5;15.24;1.277;837.0;889.3;2434.9;771.8;16.3;1.35
65;Missouri_River_Iowa;63.3;19.62;1.853;892.0;1057.2;4119.6;904.2;17.4;1.35
66;Chicago_Ship_Canal;6.0;14.14;0.193;3;4.0;12.4;39.5;1;1.00
67;Elkhorn_River_Neb.;108.7;9.35;1.860;9.3;11.4;157.8;42.3;5.9;1.09
68;Elkhorn_River_Neb.;121.2;9.91;2.258;20.9;19.3;311.5;70.7;6.4;1.09
69;Comite_River_La.;48.1;7.01;0.562;7;10.3;14.4;11.6;13.3;1.31
70;Comite_River_La.;38.5;6.60;0.434;13.9;14.0;16.3;17.5;11.4;1.31
